Group,Region,Area,Season,%,95% CI
Children 13?17 yrs,HHS Region 1,Connecticut,2010-11,35.9,(±6.6)
Children 13?17 yrs,HHS Region 1,Connecticut,2011-12,40.3,(±7.6)
Children 13?17 yrs,HHS Region 1,Connecticut,2012-13,45.4,(±6.9)
Children 13?17 yrs,HHS Region 1,Connecticut,2013-14,55.7,(±8.6)
Children 13?17 yrs,HHS Region 1,Maine,2010-11,43.7,(±8.7)
Children 13?17 yrs,HHS Region 1,Maine,2011-12,44.2,(±8.8)
Children 13?17 yrs,HHS Region 1,Maine,2012-13,57.2,(±8.5)
Children 13?17 yrs,HHS Region 1,Maine,2013-14,53.2,(±6.8)
Children 13?17 yrs,HHS Region 1,Massachusetts,2010-11,53.1,(±7.4)
Children 13?17 yrs,HHS Region 1,Massachusetts,2011-12,38.7,(±7.0)
Children 13?17 yrs,HHS Region 1,Massachusetts,2012-13,66.9,(±6.4)
Children 13?17 yrs,HHS Region 1,Massachusetts,2013-14,60.8,(±6.6)
Children 13?17 yrs,HHS Region 1,New Hampshire,2010-11,40,(±11.7)‡‡
Children 13?17 yrs,HHS Region 1,New Hampshire,2011-12,32.4,(±8.1)
Children 13?17 yrs,HHS Region 1,New Hampshire,2012-13,45.1,(±8.8)
Children 13?17 yrs,HHS Region 1,New Hampshire,2013-14,51.4,(±6.7)
Children 13?17 yrs,HHS Region 1,Rhode Island,2010-11,70.6,(±7.0)
Children 13?17 yrs,HHS Region 1,Rhode Island,2011-12,54.1,(±9.1)
Children 13?17 yrs,HHS Region 1,Rhode Island,2012-13,76.7,(±6.7)
Children 13?17 yrs,HHS Region 1,Rhode Island,2013-14,58.9,(±9.8)
Children 13?17 yrs,HHS Region 1,Vermont,2010-11,25.3,(±7.9)
Children 13?17 yrs,HHS Region 1,Vermont,2011-12,42,(±8.5)
Children 13?17 yrs,HHS Region 1,Vermont,2012-13,49.6,(±9.7)
Children 13?17 yrs,HHS Region 1,Vermont,2013-14,47,(±9.6)
Children 13?17 yrs,HHS Region 2,New Jersey,2010-11,36.9,(±7.0)
Children 13?17 yrs,HHS Region 2,New Jersey,2011-12,35.2,(±7.1)
Children 13?17 yrs,HHS Region 2,New Jersey,2012-13,48,(±6.8)
Children 13?17 yrs,HHS Region 2,New Jersey,2013-14,46.2,(±7.5)
Children 13?17 yrs,HHS Region 2,New York,2010-11,37.2,(±4.9)
Children 13?17 yrs,HHS Region 2,New York,2011-12,36.8,(±5.9)
Children 13?17 yrs,HHS Region 2,New York,2012-13,48,(±4.7)
Children 13?17 yrs,HHS Region 2,New York,2013-14,50.9,(±5.3)
Children 13?17 yrs,HHS Region 3,Delaware,2010-11,36.6,(±12.6)‡‡
Children 13?17 yrs,HHS Region 3,Delaware,2011-12,40.7,(±10.1)‡‡
Children 13?17 yrs,HHS Region 3,Delaware,2012-13,54.8,(±10.8)‡‡
Children 13?17 yrs,HHS Region 3,Delaware,2013-14,53.3,(±7.3)
Children 13?17 yrs,HHS Region 3,District of Columbia,2010-11,63.1,(±24.8)‡‡
Children 13?17 yrs,HHS Region 3,District of Columbia,2011-12,48.7,(±10.0)
Children 13?17 yrs,HHS Region 3,District of Columbia,2012-13,56.7,(±9.1)
Children 13?17 yrs,HHS Region 3,District of Columbia,2013-14,57.5,(±9.1)
Children 13?17 yrs,HHS Region 3,Maryland,2010-11,46.3,(±9.3)
Children 13?17 yrs,HHS Region 3,Maryland,2011-12,39.7,(±9.3)
Children 13?17 yrs,HHS Region 3,Maryland,2012-13,49.7,(±10.3)‡‡
Children 13?17 yrs,HHS Region 3,Maryland,2013-14,50,(±8.8)
Children 13?17 yrs,HHS Region 3,Pennsylvania,2010-11,40.9,(±7.7)
Children 13?17 yrs,HHS Region 3,Pennsylvania,2011-12,34.9,(±5.4)
Children 13?17 yrs,HHS Region 3,Pennsylvania,2012-13,44.8,(±7.2)
Children 13?17 yrs,HHS Region 3,Pennsylvania,2013-14,50.2,(±6.5)
Children 13?17 yrs,HHS Region 3,Virginia,2010-11,37.9,(±7.6)
Children 13?17 yrs,HHS Region 3,Virginia,2011-12,34.2,(±8.3)
Children 13?17 yrs,HHS Region 3,Virginia,2012-13,43.3,(±10.4)‡‡
Children 13?17 yrs,HHS Region 3,Virginia,2013-14,46.9,(±9.5)
Children 13?17 yrs,HHS Region 3,West Virginia,2010-11,33.8,(±10.3)‡‡
Children 13?17 yrs,HHS Region 3,West Virginia,2011-12,36.5,(±10.9)‡‡
Children 13?17 yrs,HHS Region 3,West Virginia,2012-13,43,(±8.1)
Children 13?17 yrs,HHS Region 3,West Virginia,2013-14,40,(±6.9)
Children 13?17 yrs,HHS Region 4,Alabama,2010-11,30.2,(±7.1)
Children 13?17 yrs,HHS Region 4,Alabama,2011-12,37,(±9.6)
Children 13?17 yrs,HHS Region 4,Alabama,2012-13,39.4,(±9.1)
Children 13?17 yrs,HHS Region 4,Alabama,2013-14,46.4,(±6.4)
Children 13?17 yrs,HHS Region 4,Florida,2010-11,22.6,(±4.9)
Children 13?17 yrs,HHS Region 4,Florida,2011-12,34.3,(±11.8)‡‡
Children 13?17 yrs,HHS Region 4,Florida,2012-13,36,(±8.5)
Children 13?17 yrs,HHS Region 4,Florida,2013-14,36.8,(±6.6)
Children 13?17 yrs,HHS Region 4,Georgia,2010-11,35,(±8.4)
Children 13?17 yrs,HHS Region 4,Georgia,2011-12,24.6,(±8.0)
Children 13?17 yrs,HHS Region 4,Georgia,2012-13,35,(±7.5)
Children 13?17 yrs,HHS Region 4,Georgia,2013-14,42.8,(±7.3)
Children 13?17 yrs,HHS Region 4,Kentucky,2010-11,37.6,(±9.8)
Children 13?17 yrs,HHS Region 4,Kentucky,2011-12,33.8,(±6.9)
Children 13?17 yrs,HHS Region 4,Kentucky,2012-13,40.7,(±7.1)
Children 13?17 yrs,HHS Region 4,Kentucky,2013-14,45,(±7.2)
Children 13?17 yrs,HHS Region 4,Mississippi,2010-11,28.6,(±12.9)‡‡
Children 13?17 yrs,HHS Region 4,Mississippi,2011-12,34.1,(±8.1)
